Nome,Apelido,Time
Jesé Rodriguez Ruiz,Jesé Rodriguez,Coritiba S.a.f.-PR
Joao Vitor da Silva Almeida,João Vitor,Coritiba S.a.f.-PR
Jorge Vinicius Ribeiro da Silva,Jorge Vinicius,Coritiba S.a.f.-PR
Kaio Cesar Andrade Lima,Kaio Lima,Coritiba S.a.f.-PR
Luan Polli Gomes,Luan Polli,Coritiba S.a.f.-PR
Lucas Henrique Barbosa,Lucas,Coritiba S.a.f.-PR
Lucas Ronier Vieira Pires,LUCAS RONIER,Coritiba S.a.f.-PR
Marco Antonio Amorim de Oliveira Montes,Marcão,Coritiba S.a.f.-PR
Matheus Henrique Bianqui,Matheus,Coritiba S.a.f.-PR
Mauricio de Carvalho Antonio,Mauricio,Coritiba S.a.f.-PR
Mauricio Garcez de Jesus,MAURICIO,Coritiba S.a.f.-PR
Natanael Moreira Milouski,Natanael Milouski,Coritiba S.a.f.-PR
Pedro Luccas Morisco da Silva,Pedro Morisco,Coritiba S.a.f.-PR
Reynaldo Cesar Moraes,Reynaldo,Coritiba S.a.f.-PR
Robson dos Santos Fernandes,Robson,Coritiba S.a.f.-PR
Rodrigo Cunha Pereira de Pinho,Rodrigo,Coritiba S.a.f.-PR
Ruan Lucas de Assis,Ruan Lucas,Coritiba S.a.f.-PR
Sebastian Gomez Londono,Sebastian Gomez,Coritiba S.a.f.-PR
Thalisson Gabriel Pereira Moreira,Thalisson Gabriel,Coritiba S.a.f.-PR
Thiago Dombroski Moreira,Thiago Dombroski,Coritiba S.a.f.-PR
Victor Luis Chuab Zamblauskas,Victor,Coritiba S.a.f.-PR
Wesley da Conceicao Duarte Moreira,Wesley Pomba,Ituano-SP
Willian Roberto de Farias,Willian Farias,Coritiba S.a.f.-PR
Anderson Silva da Paixão,Anderson Paixão,Cruzeiro Saf-MG
Antonio Francisco Moura Neto,Neto,Mirassol-SP
Arielson Sampaio Galvão,Arielson,Time nao encontrado
Arthur Gomes Lourenco,Arthur Gomes,Cruzeiro Saf-MG
Bruno Ferreira Alves,BRUNO ALVES,Cruzeiro Saf-MG
Bruno Rafael Rodrigues do Nascimento,Bruno Rodrigues,Cruzeiro Saf-MG
Carlos Daniel Gomez Ccasani,Carlos Gomez,Cruzeiro Saf-MG
Daniel de Melo Araujo Junior,Daniel JR,Time nao encontrado
Denilson Chaves Goulart,Denilson Goulart,Avaí-SC
Dorival Silva de Oliveira,DORIVAL,Cruzeiro Saf-MG
Fernando Henrique do Nascimento Pereira,Fernando,Cruzeiro Saf-MG
Gabriel Jose Ferreira Mesquita,Gabriel Mesquita,Cruzeiro Saf-MG
Gilberto Oliveira Souza Junior,Gilberto,Cruzeiro Saf-MG
Guilherme Meira Ferreira Alves,Gui Meira,Cruzeiro Saf-MG
Helibelton Palacios Zapata,Palacios,Cruzeiro Saf-MG
Henrique Fernandes da Silva,Henrique,Cruzeiro Saf-MG
Henrique Rodrigues Cardoso,Henrique,Cruzeiro Saf-MG
Hueglo dos Santos Neris,Neris,Cruzeiro Saf-MG
Ian Luccas Baroni Boetto,Ian,Cruzeiro Saf-MG
Igor Marques Paciencia Cardoso,Igor Marques Paciencia Cardoso,Time nao encontrado
Italo Isaac Pereira Lourenco,Italo,Cruzeiro Saf-MG
Jhosefer Raphael Januario,Jhosefer,Cruzeiro Saf-MG
